folioviv,ingreso_trimestral,educacion_jefe
0900006901,41791.26,8
0900006902,57551.03,4
0900006903,38396.729999999996,8
0900006904,68355.94,9
0900006905,42236.38,6
0900006906,112463.31,10
0900009201,78464.05,8
0900009202,172044.18,10
0900009204,35801.1,8
0900009205,60911.59,6
0900009206,89502.75,10
0900017401,30277.16,3
0900017402,72269.0,11
0900017403,46956.509999999995,6
0900017404,13695.65,6
0900017405,61581.49,6
0900017406,29543.46,7
0900126601,23360.64,8
0900126602,10622.95,1
0900126603,58770.47,6
0900126604,39393.43,7
0900126605,39147.520000000004,4
0900126606,62483.579999999994,4
0900165801,132073.74,4
0900165802,35409.83,6
0900165803,47581.950000000004,10
0900165804,84344.24,8
0900165805,163770.47999999998,10
0900165806,161336.02000000002,3
0900255001,22010.86,4
0900255002,135733.66,6
0900255003,47201.07,10
0900255004,40597.82,8
0900255005,24480.96,4
0900255006,43532.6,10
0900286301,68478.24,9
0900286302,106532.59,9
0900286303,28124.99,8
0900286304,145516.26,10
0900286305,53559.76,6
0900286306,56739.12,6
0900291501,88923.90000000001,10
0900291502,64565.21,11
0900291503,65934.76000000001,6
0900291504,61522.79,10
0900291505,67695.63,6
0900291506,11005.43,11
0900297701,9368.84,1
0900297702,159344.25,10
0900297703,171442.62,11
0900297704,30432.76,6
0900297705,30368.84,8
0900297706,32237.69,6
0900313901,55555.4,8
0900313902,44329.869999999995,8
0900313903,75629.3,9
0900313904,50766.8,7
0900313905,26657.6,10
0900313906,41576.07,10
0900401201,10243.08,7
0900401202,45596.659999999996,4
0900401203,48679.55,7
0900401204,12853.57,7
0900401205,28379.82,4
0900401206,25023.45,4
0900411901,134217.36,10
0900411902,129619.55,10
0900411903,239086.94,11
0900411905,49548.89,6
0900411906,25826.07,10
0900456201,7234.8,6
0900456202,124309.37,10
0900456203,19466.84,6
0900456205,86698.31,6
0900456205,86698.31,4
0900456206,7955.78,6
0900487401,58252.94,4
0900487402,63758.13,8
0900487403,85304.32,8
0900487403,85304.32,7
0900487404,51749.98,10
0900487405,58402.16,6
0900487406,37565.2,9
0900501601,323606.48,10
0900501602,15590.16,7
0900501603,56065.56,10
0900501604,5680.32,6
0900501605,25032.769999999997,6
0900501606,42860.619999999995,5
0900512801,27147.52,7
0900512802,136721.26,10
0900512803,61967.17,6
0900512804,48786.85,4
0900512805,24639.32,6
0900512806,50763.92,6
0900530401,19614.1,4
0900530402,100785.3,8
0900530403,45034.19,6
0900530404,59869.55,6
0900530405,93179.33,8
0900530406,26315.21,10
0900532601,5901.63,6
0900532602,9786.869999999999,7
0900532603,16652.43,4
0900532604,3737.7,3
0900532605,67819.64,4
0900532606,36540.94,6
0900554801,125901.62000000001,4
0900554802,48172.11,4
0900554803,104065.55,10
0900554804,13475.380000000001,1
0900554805,18098.35,8
0900640301,48277.16,6
0900640303,146739.12,8
0900640304,18342.379999999997,8
0900640305,107276.06,10
0900640306,61019.0,10
0900659001,28663.030000000002,6
0900659002,114211.93,9
0900659003,28051.62,6
0900659004,26437.48,7
0900659005,67940.2,10
0900659006,52826.08,10
0900660301,130597.81,10
0900660302,34361.4,5
0900660304,26413.04,8
0900660305,214653.88,10
0900660306,42211.939999999995,6
0900709001,128152.15,10
0900709002,22304.34,7
0900709003,79923.89,8
0900709004,39619.56,7
0900709005,47078.79,9
0900709006,6456.51,6
0900710502,26119.55,4
0900710503,78016.29000000001,4
0900710504,14453.79,4
0900710505,39766.29,9
0900710506,14380.42,5
0900805701,53114.75,8
0900805702,108688.5,9
0900805703,5680.32,10
0900805705,36540.95,9
0900805706,51639.33,8
0900848901,33040.75,8
0900848902,23263.02,6
0900848903,54293.46000000001,8
0900848904,34972.81,8
0900848905,43385.85,6
0900848906,80364.12000000001,11
0900852201,61657.43,6
0900852202,146685.06,11
0900852203,8577.33,10
0900852204,63422.63,9
0900852205,27621.54,6
0900852206,79110.48000000001,10
0900956401,33715.71,8
0900956402,157323.86,4
0900956403,95091.81,8
0900956404,48423.9,9
0900956405,122038.01000000001,8
0900956406,15749.99,8
0900970501,45733.67,6
0900970502,45342.37,8
0900970503,132065.2,6
0900970504,46956.509999999995,10
0900970505,16723.34,5
0900970505,16723.34,9
0900970506,62266.270000000004,7
